source,source_label,source_type,target,target_label,target_type,relation,weight
theme_ai_builders,AI Landing Builders,cluster,ai_webflow_builder,Webflow AI Site Builder,ai_tool,contains,1
theme_ai_builders,AI Landing Builders,cluster,ai_webflow_help,Webflow AI Help,ai_tool,contains,1
theme_ai_builders,AI Landing Builders,cluster,ai_relume,Relume AI Site Builder,ai_tool,contains,1
theme_ai_builders,AI Landing Builders,cluster,ai_v0_text,v0 Text Prompting,ai_tool,contains,1
theme_ai_builders,AI Landing Builders,cluster,ai_v0_prompt,How to prompt v0,ai_tool,contains,1
theme_ai_builders,AI Landing Builders,cluster,ai_wix,Wix AI Landing Builder,ai_tool,contains,1
theme_ai_builders,AI Landing Builders,cluster,ai_uizard,Uizard,ai_tool,contains,1
theme_ai_builders,AI Landing Builders,cluster,ai_landingi,Landingi Lunar,ai_tool,contains,1
theme_ai_builders,AI Landing Builders,cluster,ai_unbounce,Unbounce Variant Optimization,ai_tool,contains,1
theme_prompting,Prompting Heuristics,cluster,ai_v0_prompt,How to prompt v0,ai_tool,supports,1
theme_prompting,Prompting Heuristics,cluster,ai_relume,Relume AI Site Builder,ai_tool,supports,1
theme_prompting,Prompting Heuristics,cluster,ai_webflow_help,Webflow AI Help,ai_tool,supports,1
theme_prompting,Prompting Heuristics,cluster,ai_framer,Framer AI / Wireframer,ai_tool,supports,1
theme_prompting,Prompting Heuristics,cluster,ai_uizard,Uizard,ai_tool,supports,1
theme_prompting,Prompting Heuristics,cluster,ux_baymard_homepage,Baymard Homepage Benchmark,ux_skill,reinforces,1
theme_prompting,Prompting Heuristics,cluster,ux_nngroup_principles,NNGroup Visual Design Principles,ux_skill,reinforces,1
theme_prompting,Prompting Heuristics,cluster,ux_w3c_structure,W3C Page Structure,ux_skill,reinforces,1
theme_prompting,Prompting Heuristics,cluster,ux_w3c_forms,W3C Forms,ux_skill,reinforces,1
theme_visual_effects,Visual Effects,cluster,repo_shadergradient,ShaderGradient,inspiration,contains,1.0
theme_visual_effects,Visual Effects,cluster,repo_liquid_glass_js,Liquid Glass JS,inspiration,contains,1.0
theme_visual_effects,Visual Effects,cluster,repo_react_three_fiber,react-three-fiber (R3F),inspiration,contains,1.0
theme_brand_treatments,Brand Treatments,cluster,repo_liquid_logo,Liquid Logo (paper-design demo),inspiration,contains,1.0
