id,label,type,url,tag,source_degree,target_degree
ux_microsoft_inclusive,Microsoft Inclusive Design,ux_skill,https://inclusive.microsoft.design/,ux_skill,0,1
ai_framer,Framer AI / Wireframer,ai_tool,https://www.framer.com/solutions/landing-page-builder,ai_tool,0,2
ai_webflow_builder,Webflow AI Site Builder,ai_tool,https://webflow.com/ai-site-builder,ai_tool,0,1
ai_webflow_help,Webflow AI Help,ai_tool,https://help.webflow.com/hc/en-us/articles/38840145286035-Build-a-site-with-Webflow-s-AI-site-builder,ai_tool,0,2
ai_relume,Relume AI Site Builder,ai_tool,https://www.relume.io/,ai_tool,0,2
ai_v0_text,v0 Text Prompting,ai_tool,https://v0.dev/docs/text-prompting,ai_tool,0,1
ai_v0_prompt,How to prompt v0,ai_tool,https://vercel.com/blog/how-to-prompt-v0,ai_tool,0,2
ai_wix,Wix AI Landing Builder,ai_tool,https://www.wix.com/landing-page-builder,ai_tool,0,1
ai_uizard,Uizard,ai_tool,https://uizard.io/,ai_tool,0,2
ai_landingi,Landingi Lunar,ai_tool,https://www.landingi.com/product/lunar/,ai_tool,0,1
ai_unbounce,Unbounce Variant Optimization,ai_tool,https://unbounce.com/landing-pages/optimize-with-smart-traffic-landing-page-variants/,ai_tool,0,1
theme_inspiration,Inspiration Libraries,cluster,,cluster,9,0
theme_design_systems,Design Systems,cluster,,cluster,21,0
theme_ux_skills,UI/UX Skill Resources,cluster,,cluster,12,0
theme_ai_builders,AI Landing Builders,cluster,,cluster,10,0
theme_prompting,Prompting Heuristics,cluster,,cluster,9,0
theme_flow_references,Flow References,cluster,,cluster,3,0
